 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
70,0.123333331,0.191111114,0.160000002,0.422222227,0.329999998,0.550000012,0.643333316,0.787777781,0.731111109,0.75222224,0.828888893,0.627777755,0.866666675,0.735555559,0.858888894,0.883333325,0.853333324,0.896666646,0.878888905,0.915555567
71,0.104444444,0.168888889,0.328888893,0.417777777,0.48777777,0.406666666,0.397777788,0.588888898,0.549999997,0.766666681,0.782222241,0.813333333,0.875555545,0.75444445,0.7411111,0.843333334,0.833333343,0.845555544,0.878888875,0.891111135
72,0.060000001,0.118888889,0.335555553,0.271111116,0.417777792,0.705555558,0.687777787,0.75222221,0.802222222,0.74555555,0.837777793,0.817777783,0.846666664,0.851111114,0.831111103,0.881111115,0.896666646,0.881111115,0.778888911,0.927777797
73,0.061111111,0.237777777,0.182222221,0.319999993,0.584444433,0.248888895,0.545555562,0.775555551,0.725555569,0.706666648,0.74222222,0.832222223,0.797777772,0.816666663,0.862222224,0.926666647,0.875555545,0.75222224,0.909999996,0.874444425
74,0.054444443,0.196666665,0.155555554,0.228888899,0.4388889,0.444444433,0.701111108,0.774444461,0.827777773,0.840000004,0.836666673,0.842222244,0.892222226,0.827777773,0.877777755,0.886666656,0.843333334,0.846666694,0.931111127,0.882222205
75,0.061111111,0.181111112,0.346666679,0.196666673,0.583333313,0.668888867,0.673333317,0.788888872,0.801111132,0.797777772,0.735555559,0.827777773,0.884444445,0.868888885,0.846666664,0.74444443,0.730000019,0.862222224,0.866666645,0.906666666
76,0.055555556,0.19888889,0.314444453,0.391111121,0.366666675,0.417777777,0.653333336,0.445555545,0.73777777,0.804444432,0.774444461,0.838888913,0.863333344,0.75999999,0.886666656,0.877777755,0.922222227,0.927777767,0.930000007,0.865555555
77,0.107777778,0.103333332,0.338888884,0.571111113,0.477777779,0.50777778,0.715555549,0.782222211,0.820000023,0.764444441,0.894444436,0.851111114,0.864444435,0.898888886,0.867777765,0.893333346,0.876666665,0.766666651,0.917777777,0.914444447
78,0.095555559,0.179999996,0.133333329,0.188888885,0.49555555,0.343333334,0.789999992,0.766666681,0.807777792,0.776666671,0.888888896,0.864444464,0.872222245,0.810000002,0.789999992,0.844444454,0.76333335,0.868888885,0.932222217,0.927777767
79,0.091111112,0.163333334,0.177777775,0.222222231,0.484444454,0.686666667,0.566666663,0.670000017,0.773333341,0.806666672,0.877777785,0.878888905,0.878888875,0.778888881,0.913333327,0.841111124,0.912222236,0.781111121,0.937777787,0.923333317
80,0.071111113,0.088888891,0.302222222,0.366666675,0.556666672,0.457777783,0.633333325,0.583333328,0.673333347,0.822222203,0.872222215,0.878888875,0.896666676,0.912222207,0.858888865,0.919999987,0.813333333,0.840000004,0.871111095,0.892222226
81,0.078888889,0.197777778,0.251111113,0.518888906,0.605555564,0.764444441,0.585555539,0.728888869,0.863333315,0.811111093,0.859999985,0.858888865,0.884444445,0.827777773,0.853333324,0.914444447,0.887777776,0.906666666,0.884444445,0.933333337
82,0.166666664,0.113333333,0.347777784,0.479999989,0.382222235,0.634444445,0.643333346,0.827777773,0.633333325,0.74555555,0.770000011,0.826666653,0.803333312,0.866666675,0.924444437,0.882222235,0.939999998,0.873333335,0.887777776,0.897777766
83,0.144444443,0.075555556,0.255555563,0.456666663,0.587777793,0.434444442,0.791111112,0.692222238,0.75,0.794444442,0.882222205,0.894444436,0.872222215,0.801111102,0.885555565,0.906666666,0.915555537,0.912222236,0.933333337,0.911111116
84,0.077777777,0.121111114,0.36222221,0.120000003,0.540000021,0.732222229,0.780000001,0.713333338,0.646666676,0.861111104,0.76111111,0.734444439,0.921111107,0.915555567,0.872222245,0.900000006,0.895555556,0.942222208,0.923333347,0.905555546
85,0.084444441,0.153333336,0.25444445,0.374444447,0.620000005,0.590000018,0.627777785,0.691111118,0.861111104,0.811111122,0.777777791,0.805555552,0.923333347,0.74777779,0.874444425,0.930000007,0.916666657,0.916666657,0.922222227,0.916666657
86,0.107777778,0.19111111,0.194444448,0.423333347,0.332222231,0.74666667,0.732222229,0.75888887,0.846666664,0.844444424,0.902222216,0.874444455,0.802222222,0.918888897,0.912222236,0.905555576,0.918888867,0.930000007,0.896666676,0.933333337
87,0.107777778,0.185555562,0.522222221,0.358888879,0.370000005,0.50444445,0.711111128,0.636666685,0.707777768,0.806666642,0.876666665,0.819999993,0.902222216,0.816666663,0.907777786,0.913333356,0.931111097,0.915555567,0.942222238,0.924444437
88,0.09333333,0.151111111,0.478888884,0.437777773,0.481111124,0.648888886,0.483333334,0.774444461,0.879999995,0.775555551,0.867777765,0.872222215,0.887777776,0.904444426,0.912222236,0.933333337,0.909999996,0.914444447,0.907777756,0.915555567
89,0.067777775,0.12444444,0.311111107,0.478888884,0.766666651,0.638888881,0.798888892,0.75444445,0.875555545,0.890000015,0.848888904,0.897777766,0.888888896,0.922222227,0.855555564,0.924444467,0.887777776,0.897777766,0.932222217,0.867777795
90,0.175555553,0.087777779,0.292222224,0.433333337,0.705555558,0.765555561,0.728888899,0.855555564,0.802222222,0.467777774,0.840000004,0.838888884,0.875555545,0.868888915,0.888888896,0.926666677,0.929999977,0.903333336,0.936666667,0.916666657
